21A,Astrocytoma
21A,Neoplasms
21A,UterineCervicalNeoplasms
21A,Glioblastoma
21A,Neuroblastoma
91H,BreastNeoplasms
91H,ColorectalNeoplasms
91H,Osteosarcoma
AATBC,UrinaryBladderNeoplasms
AATBC,NasopharyngealNeoplasms
AB019562,SquamousCellCarcinomaofHeadandNeck
AB019562,CarcinomaHepatocellular
AB073614,UterineCervicalNeoplasms
AB073614,CarcinomaOvarianEpithelial
AB073614,StomachNeoplasms
AB073614,ColorectalNeoplasms
AB073614,CarcinomaNon-Small-CellLung
AB073614,OvarianNeoplasms
AB073614,Glioma
AB209630,PancreaticNeoplasms
AB209630,CarcinomaHepatocellular
AB209630,SquamousCellCarcinomaofHeadandNeck
ABHD11-AS1,StomachNeoplasms
ABHD11-AS1,UrinaryBladderNeoplasms
ABHD11-AS1,EndometrialNeoplasms
ABHD11-AS1,OvarianNeoplasms
ABHD11-AS1,ColorectalNeoplasms
ABHD11-AS1,ThyroidCancerPapillary
ABHD11-AS1,PancreaticNeoplasms
Abhd11os,LungNeoplasms
Abhd11os,OvarianNeoplasms
AC003681.1,Astrocytoma
AC003681.1,CarcinomaHepatocellular
AC004528.1,Astrocytoma
AC004528.1,CarcinomaHepatocellular
AC004528.1,StomachNeoplasms
AC005696.4,Astrocytoma
AC005696.4,StomachNeoplasms
AC007388.1,Astrocytoma
AC007743.1,Astrocytoma
AC007743.1,TelangiectasiaHereditaryHemorrhagic
AC008392.1,UterineCervicalNeoplasms
AC008392.1,CarcinomaHepatocellular
AC008691.1,Astrocytoma
AC008691.1,CarcinomaNon-Small-CellLung
AC022075.3,Astrocytoma
AC022075.3,ColorectalNeoplasms
AC022257.1,Astrocytoma
AC023590.1,Astrocytoma
AC025263.1,Astrocytoma
AC025580.1,Astrocytoma
AC025580.1,Neuroblastoma
AC025580.3,Astrocytoma
AC026904.1,LungNeoplasms
AC026904.1,BreastNeoplasms
AC037441.1,Astrocytoma
AC062028.1,Astrocytoma
AC062028.1,LiverNeoplasms
AC068282.1,Astrocytoma
AC068282.1,PolycysticOvarySyndrome
AC087521.1,PancreaticNeoplasms
AC087521.1,Seizures
AC090510.3,ColorectalNeoplasms
AC090510.3,CrohnDisease
AC090510.3,CarcinomaHepatocellular
AC090510.3,StomachNeoplasms
AC091891.2,BreastNeoplasms
AC091891.2,ColorectalNeoplasms
AC091891.2,HeartFailure
AC091891.2,LungNeoplasms
AC091891.2,OvarianNeoplasms
AC091891.2,StomachNeoplasms
AC092802.1,Astrocytoma
AC100786.1,Astrocytoma
